,params,coefs
0,intercept,-0.46523662445550396
1,GRE Score,0.0018375045665553274
2,TOEFL Score,0.0027259201507572814
3,University Rating,0.004996372338498639
4,SOP,0.0020766783843834498
5,LOR ,0.016619067870376536
6,CGPA,0.09471733604601228
7,Research,0.025853620601021365
